YEAR,COMMUNITY.EXPECTATION,COMMUNITY.LEADERS,COUNTRY,DATAVIS.EDU,DATAVIS.EDU.METHOD,DATAVIS.TIME,EDU.BACKGROUND,EDU.MAJOR,EXPERIENCE.DATAVIS.YEARS,FREELANCE.OR.CONSULTANT,GENDER,JOB.DATASCI.HOURS,JOB.DATAVIS.AUDIENCE,JOB.DATAVIS.AUDIENCEDATAVISCONSUMPTION,JOB.DATAVIS.AUDIENCEDATAVISUSE,JOB.DATAVIS.AUDIENCEKNOWLEGE,JOB.DATAVIS.AUDIENCERELATIONSHIP,JOB.DATAVIS.CHARTSUSED,JOB.DATAVIS.EXPECTATIONS,JOB.DATAVIS.FATIGUE,JOB.DATAVIS.FOCUS,JOB.DATAVIS.GOALS,JOB.DATAVIS.HOURS,JOB.DATAVIS.INTENT,JOB.DATAVIS.LACKSKILLS,JOB.DATAVIS.LEADERSHIP.UNDERSTANDING,JOB.DATAVIS.NEWTOOLS,JOB.DATAVIS.ORGANIZATION,JOB.DATAVIS.PRESENTATION,JOB.DATAVIS.REACH,JOB.DATAVIS.RESOURCES,JOB.DATAVIS.TOOLCHOICE,JOB.DATAVIS.TOOLS,JOB.DATAVIS.USE,JOB.DESCRIPTION,JOB.DESIGN.HOURS,JOB.ENGINEERING.HOURS,JOB.IMPROVEMENT,JOB.PAY,JOB.PORTFOLIO.HOURS,JOB.PREPWORK.HOURS,JOB.SECTOR,LGBTQ,SPOKEN.LANGUAGE,REGION,TOTAL.HOURS,JOB.DESIGN.HOURS.PERC,JOB.DATASCI.HOURS.PERC,JOB.DATAVIS.HOURS.PERC,JOB.PREPWORK.HOURS.PERC,JOB.PORTFOLIO.HOURS.PERC,JOB.ENGINEERING.HOURS.PERC
2017,NA,NA,_,Mostly Self-Taught,NA,More,PHD,NA,3,NA,NA,NA,Project Managers;Executives;Other professionals,Quarterly,ANALYSIS;SUMMARIZATION;LEARNING;RESEARCH,INTRO;MODERATE,COLLABORATIVE,Line Chart;Bar Chart;Pie Chart;Infographics,NA,NA,DATA VISUALIZATION IS ONE OF SEVERAL OTHER THINGS I DO IN MY JOB BUT NOT A PRIMARY OR SECONDARY PART OF MY ROLE,Analysis;Summary/Overview;Communication;Exploration,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,NA,Documents;Presentations,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Excel;ggplot;Other R,ggplot2/Pandas Charts,NA,NA,NA,NA,NA,NA,NA,PUBLIC SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,_,Mostly Self-Taught,NA,Much more,MASTERS,NA,2,NA,NA,NA,Executives,Monthly,ANALYSIS;SUMMARIZATION,INTRO,CONSULTATIVE,Line Chart;Bar Chart;Pie Chart;Infographics;Choropleth Map,NA,NA,DATA VISUALIZATION IS ONE OF SEVERAL OTHER THINGS I DO IN MY JOB BUT NOT A PRIMARY OR SECONDARY PART OF MY ROLE,Analysis;Summary/Overview;Communication,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,BOTH,Embedded in a tool;Dashboard;Static Web Page;Documents;Presentations;Email,NA,NA,WE HAVE A SET LIST OF TOOLS WE'RE EXPECTED TO USE FOR DATA VISUALIZATION.,Excel,Business Intelligence Tools,NA,NA,NA,NA,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,"Accessible guidance on new technologies and tools that are / could be useful for data visualization

Also discussions on how people's background influence their approach (style/method/goal/format/...) when producing/designing data visualizations",NA,_,Equal Parts School and Self-Taught,NA,Same,MASTERS,NA,3,NA,MAN,NA,General Public;Project Managers;Executives;Researchers,Weekly,ANALYSIS;SUMMARIZATION;LEARNING;RESEARCH,MODERATE;EXPERT,CONSULTATIVE,Line Chart;Bar Chart;Pie Chart;Treemap;Network Diagram;Flow Diagram;Physical network/line/bubble charts,NA,NA,DATA VISUALIZATION IS THE FOCUS OF MY JOB,Analysis;Communication;Exploration,NA,HIRED TO DO DATA VISUALIZATION,NA,NA,NA,BOTH,Embedded in a tool;Static Web Page;Presentations,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Illustrator;Tableau;Other Javascript;Other Python;QGIS;Gephi,Business Intelligence Tools;Completely custom,NA,NA,NA,NA,NA,NA,NA,PUBLIC SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,_,Mostly Self-Taught,NA,More,BACHELORS,NA,4,NA,MAN,NA,General Public;Project Managers,Quarterly,ANALYSIS;RESEARCH,MODERATE,SUBORDINATE,Line Chart;Bar Chart;Pie Chart;Network Diagram;Flow Diagram,NA,NA,DATA VISUALIZATION IS ONE OF SEVERAL OTHER THINGS I DO IN MY JOB BUT NOT A PRIMARY OR SECONDARY PART OF MY ROLE,NA,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,NA,Embedded in a tool;Static Web Page;Presentations,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Illustrator;Excel;D3;Leaflet,NA,NA,NA,NA,NA,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,_,Mostly Self-Taught,NA,More,MASTERS,NA,4,NA,WOMAN,NA,Analysts;Scientists;Product Managers;Executives,Daily,ANALYSIS;SUMMARIZATION;LEARNING,INTRO;MODERATE,SUBORDINATE,Line Chart;Bar Chart;Pie Chart;Network Diagram;Flow Diagram,NA,NA,DATA VISUALIZATION IS AN IMPORTANT SECONDARY PART OF MY JOB BUT NOT THE FOCUS,Analysis;Machine Learning;Summary/Overview;Communication;Marketing;Exploration,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Embedded in a tool;Dashboard;Documents;Presentations,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Excel;Power BI;Plotly;ggplot;Other R;Pandas,Business Intelligence Tools;ggplot2/Pandas Charts,NA,NA,NA,NA,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,_,Mostly Self-Taught,NA,More,MASTERS,NA,2,NA,WOMAN,NA,Analysts;Product Managers;Executives,Weekly,ANALYSIS;RESEARCH,MODERATE,CONSULTATIVE,Line Chart;Bar Chart,NA,NA,DATA VISUALIZATION IS AN IMPORTANT SECONDARY PART OF MY JOB BUT NOT THE FOCUS,Analysis;Machine Learning,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Presentations,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Excel;D3;ggplot,ggplot2/Pandas Charts;General charting libraries,NA,NA,NA,Clarity of purpose and expectations,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,_,Mostly Self-Taught,NA,More,MASTERS,NA,6,NA,MAN,NA,General Public;Analysts;Scientists,Weekly,ANALYSIS;SUMMARIZATION;LEARNING;RESEARCH,INTRO;MODERATE,CONSULTATIVE,Line Chart;Bar Chart;Pie Chart;Infographics;Treemap;Choropleth Map;Raster Map;Flow Diagram,NA,NA,DATA VISUALIZATION IS AN IMPORTANT SECONDARY PART OF MY JOB BUT NOT THE FOCUS,Analysis;Summary/Overview;Communication;Exploration,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Dashboard;Scrollytelling;Static Web Page,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Illustrator;Excel;D3;Leaflet;Other Javascript;ArcGIS,Business Intelligence Tools;Completely custom,NA,NA,NA,NA,NA,NA,NA,PUBLIC SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,_,Equal Parts School and Self-Taught,NA,More,MASTERS,NA,2,NA,MAN,NA,Analysts;Executives,Monthly,SUMMARIZATION;LEARNING;RESEARCH,INTRO;MODERATE,CONSULTATIVE,Line Chart;Bar Chart;Choropleth Map;Raster Map,NA,NA,DATA VISUALIZATION IS AN IMPORTANT SECONDARY PART OF MY JOB BUT NOT THE FOCUS,Analysis;Machine Learning;Summary/Overview;Communication;Marketing;Exploration,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Scrollytelling;Documents;Presentations,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Excel;Tableau;Plotly;D3;Other Javascript;ggplot;Other Python,Business Intelligence Tools;ggplot2/Pandas Charts,NA,NA,NA,NA,NA,NA,NA,PUBLIC SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,_,Mostly Self-Taught,NA,More,MASTERS,NA,1,NA,MAN,NA,Engineers;Product Managers;Project Managers,Monthly,SUMMARIZATION,INTRO,SUBORDINATE,Line Chart;Bar Chart,NA,NA,DATA VISUALIZATION IS ONE OF SEVERAL OTHER THINGS I DO IN MY JOB BUT NOT A PRIMARY OR SECONDARY PART OF MY ROLE,Analysis,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Static Web Page;Image,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Tableau;Other Javascript;ggplot;Other R,Business Intelligence Tools;ggplot2/Pandas Charts,NA,NA,NA,NA,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,Additional opportunities for learning,NA,_,Mostly Self-Taught,NA,More,BACHELORS,NA,2,NA,WOMAN,NA,Product Managers;Project Managers;Executives,Monthly,ANALYSIS;SUMMARIZATION;RESEARCH,EXPERT,SUBORDINATE,Line Chart;Bar Chart;Pie Chart;Infographics;Flow Diagram,NA,NA,DATA VISUALIZATION IS AN IMPORTANT SECONDARY PART OF MY JOB BUT NOT THE FOCUS,Analysis;Summary/Overview;Communication;Marketing,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Dashboard;Documents;Presentations,NA,NA,WE HAVE A SET LIST OF TOOLS WE'RE EXPECTED TO USE FOR DATA VISUALIZATION.,Excel;Tableau;Other Network Visualization Suite,Business Intelligence Tools;General charting libraries,NA,NA,NA,More access and training to data visualization tools,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,_,Equal Parts School and Self-Taught,NA,More,MASTERS,NA,10,NA,MAN,NA,Analysts;Product Managers;Project Managers,Weekly,ANALYSIS;SUMMARIZATION;LEARNING;RESEARCH,INTRO;MODERATE;EXPERT,COLLABORATIVE,Line Chart;Bar Chart;Pie Chart;Dendrogram;Choropleth Map;Flow Diagram,NA,NA,DATA VISUALIZATION IS AN IMPORTANT SECONDARY PART OF MY JOB BUT NOT THE FOCUS,Analysis;Machine Learning;Summary/Overview;Communication;Marketing;Exploration,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Embedded in a tool;Dashboard;Documents;Presentations;Email,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Excel;Tableau;ggplot;Other R,Business Intelligence Tools;ggplot2/Pandas Charts,NA,NA,NA,NA,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,_,Mostly Self-Taught,NA,More,PHD,NA,3,NA,WOMAN,NA,General Public,Monthly,ANALYSIS;COMMUNICATION,INTRO,COLLABORATIVE,Bar Chart;Infographics;Network Diagram;streamgraph,NA,NA,DATA VISUALIZATION IS ONE OF SEVERAL OTHER THINGS I DO IN MY JOB BUT NOT A PRIMARY OR SECONDARY PART OF MY ROLE,Communication,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Scrollytelling;Documents;Presentations,NA,NA,WE HAVE A SET LIST OF TOOLS WE'RE EXPECTED TO USE FOR DATA VISUALIZATION.,Illustrator;Excel;Plotly;ggplot;Java;Cytoscape,NA,NA,NA,NA,NA,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,_,Mostly Self-Taught,NA,Same,BACHELORS,NA,9,NA,WOMAN,NA,Analysts;Product Managers;Project Managers;Executives,Weekly,ANALYSIS;SUMMARIZATION;LEARNING,MODERATE,CONSULTATIVE,Line Chart;Bar Chart;Pie Chart;Infographics;Scatter plot;box & whisker plot,NA,NA,DATA VISUALIZATION IS AN IMPORTANT SECONDARY PART OF MY JOB BUT NOT THE FOCUS,Analysis;Summary/Overview;Marketing;Exploration,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Dashboard;Documents;Presentations,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Excel;Tableau;Microstrategy;ggplot,Business Intelligence Tools,NA,NA,NA,NA,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,_,Mostly Self-Taught,NA,Same,PHD,NA,10,NA,MAN,NA,General Public;Engineers;Scientists,Weekly,ANALYSIS;SUMMARIZATION;LEARNING;RESEARCH,MODERATE,COLLABORATIVE,Line Chart;Bar Chart;Treemap;Dendrogram;Network Diagram;Raster Map,NA,NA,DATA VISUALIZATION IS AN IMPORTANT SECONDARY PART OF MY JOB BUT NOT THE FOCUS,Analysis;Machine Learning;Summary/Overview;Exploration,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Dashboard;Scrollytelling;Documents;Presentations,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,D3;Other Javascript;Pandas;Other Python;React,ggplot2/Pandas Charts;Completely custom,NA,NA,NA,NA,NA,NA,NA,ACADEMIC,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,_,Mostly Self-Taught,NA,NA,PHD,NA,5,NA,WOMAN,NA,Analysts;Engineers;Product Managers;Executives,Weekly,ANALYSIS;SUMMARIZATION;LEARNING,INTRO;MODERATE;EXPERT,COLLABORATIVE,Line Chart;Bar Chart;Pie Chart;Infographics,NA,NA,DATA VISUALIZATION IS THE FOCUS OF MY JOB,Analysis;Communication,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Dashboard;Documents;Presentations,NA,NA,WE HAVE A SET LIST OF TOOLS WE'RE EXPECTED TO USE FOR DATA VISUALIZATION.,Excel;Tableau,Business Intelligence Tools,NA,NA,NA,NA,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,_,Equal Parts School and Self-Taught,NA,More,MASTERS,NA,5,NA,WOMAN,NA,General Public;Analysts;Project Managers;Executives,Weekly,ANALYSIS;SUMMARIZATION;LEARNING;RESEARCH,INTRO;MODERATE,CONSULTATIVE,Line Chart;Bar Chart;Pie Chart;Infographics;Choropleth Map;Raster Map,NA,NA,DATA VISUALIZATION IS THE FOCUS OF MY JOB,NA,NA,HIRED TO DO DATA VISUALIZATION,NA,NA,NA,NA,Documents;Presentations,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Illustrator;Excel;Other R;ArcGIS;QGIS;Other GIS,NA,NA,NA,NA,NA,NA,NA,NA,MIXED,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,how to make data viz economically sustainable,NA,_,Mostly Self-Taught,NA,Much more,MASTERS,NA,2,NA,WOMAN,NA,General Public;Analysts;Product Managers;Project Managers;Executives,Daily,SUMMARIZATION,INTRO;MODERATE,CONSULTATIVE,Line Chart;Bar Chart;Choropleth Map,NA,NA,DATA VISUALIZATION IS ONE OF SEVERAL OTHER THINGS I DO IN MY JOB BUT NOT A PRIMARY OR SECONDARY PART OF MY ROLE,Analysis;Summary/Overview;Communication;Marketing;Exploration,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Dashboard;Scrollytelling;Static Web Page,NA,NA,WE HAVE A SET LIST OF TOOLS WE'RE EXPECTED TO USE FOR DATA VISUALIZATION.,Illustrator;Excel;Tableau;D3;Processing;Highcharts;ggplot;Other R;Pandas,Business Intelligence Tools,NA,NA,NA,automation,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,_,Mostly Self-Taught,NA,Much more,BACHELORS,NA,7,NA,MAN,NA,General Public;Project Managers;Executives,Weekly,ANALYSIS;SUMMARIZATION;LEARNING;RESEARCH,INTRO;MODERATE;EXPERT,SUBORDINATE,Line Chart;Bar Chart;Pie Chart;Infographics;Treemap;Raster Map,NA,NA,DATA VISUALIZATION IS AN IMPORTANT SECONDARY PART OF MY JOB BUT NOT THE FOCUS,Analysis;Summary/Overview;Communication;Monitoring;Evaluation,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,BOTH,Dashboard;Static Web Page;Documents;Presentations;Email,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Excel;D3;Processing;Leaflet;Mapbox;Highcharts;Other Javascript;Angular;Other MVC;ArcGIS;QGIS,General charting libraries;Completely custom;GIS,NA,NA,NA,being listened to by my customers,NA,NA,NA,PUBLIC SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,_,Mostly Self-Taught,NA,NA,PHD,NA,7,NA,NA,NA,General Public;Analysts;Scientists;policy,Hourly,ANALYSIS;SUMMARIZATION;LEARNING;RESEARCH,INTRO;MODERATE;EXPERT,CONSULTATIVE,Line Chart;Bar Chart;Choropleth Map,NA,NA,DATA VISUALIZATION IS THE FOCUS OF MY JOB,Analysis;Machine Learning;Summary/Overview;Communication;Exploration,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,SEPARATE DATA VISUALIZATION TEAM,Dashboard;Static Web Page;Documents;Presentations,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Illustrator;Excel;Tableau;Power BI;Highcharts,ggplot2/Pandas Charts;General charting libraries;Completely custom;Excel;Modeling,NA,NA,NA,NA,NA,NA,NA,NOT-FOR-PROFIT,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,_,Mostly Self-Taught,NA,More,BACHELORS,NA,1,NA,MAN,NA,General Public;Executives,Monthly,ANALYSIS;SUMMARIZATION;RESEARCH,MODERATE,CONSULTATIVE,Line Chart;Bar Chart,NA,NA,DATA VISUALIZATION IS ONE OF SEVERAL OTHER THINGS I DO IN MY JOB BUT NOT A PRIMARY OR SECONDARY PART OF MY ROLE,NA,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,NA,Documents;Presentations,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Excel;Tableau,NA,NA,NA,NA,NA,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,communities for each tool- very repsonsive forums for problems,NA,_,Mostly Self-Taught,NA,Less,BACHELORS,NA,4,NA,MAN,NA,Analysts;Engineers;Product Managers;Executives,Monthly,ANALYSIS;RESEARCH,MODERATE;EXPERT,CONSULTATIVE,Line Chart;Bar Chart;Pie Chart,NA,NA,DATA VISUALIZATION IS AN IMPORTANT SECONDARY PART OF MY JOB BUT NOT THE FOCUS,NA,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,NA,Dashboard;distribiuted reports,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Other BI;Processing;ArcGIS;Pentaho;Zepellin,NA,NA,NA,NA,simpler vis tools and easier integration,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,_,Equal Parts School and Self-Taught,NA,Same,PHD,NA,8,NA,WOMAN,NA,Product Managers;Project Managers;Executives,Daily,ANALYSIS,MODERATE,COLLABORATIVE,Line Chart;Pie Chart;Infographics;Network Diagram,NA,NA,DATA VISUALIZATION IS THE FOCUS OF MY JOB,Analysis;Marketing,NA,HIRED TO DO DATA VISUALIZATION,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Static Web Page,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,D3;Leaflet;WebGL;React,Completely custom,NA,NA,NA,NA,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,How to make a vis that tells 1000 words,NA,_,Equal Parts School and Self-Taught,NA,More,MASTERS,NA,10,NA,MAN,NA,Product Managers;Executives,Daily,ANALYSIS;SUMMARIZATION;LEARNING,MODERATE,CONSULTATIVE,Line Chart;Bar Chart;Network Diagram;Leaflet Map,NA,NA,DATA VISUALIZATION IS ONE OF SEVERAL OTHER THINGS I DO IN MY JOB BUT NOT A PRIMARY OR SECONDARY PART OF MY ROLE,Analysis;Machine Learning;Summary/Overview;Communication;Marketing;Exploration,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Dashboard;Static Web Page;Documents;Presentations;Email,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Excel;Tableau;ggplot;Other R;Gephi,Business Intelligence Tools;ggplot2/Pandas Charts,NA,NA,NA,More Big Data tools- such as Spark and Hadoop,NA,NA,NA,PUBLIC SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,_,Equal Parts School and Self-Taught,NA,NA,MASTERS,NA,5,NA,WOMAN,NA,General Public;Scientists;Medical Professionals,Weekly,RESEARCH,INTRO;MODERATE,COLLABORATIVE,Line Chart;Dendrogram;Network Diagram;Flow Diagram;3D Chart,NA,NA,DATA VISUALIZATION IS ONE OF SEVERAL OTHER THINGS I DO IN MY JOB BUT NOT A PRIMARY OR SECONDARY PART OF MY ROLE,NA,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,NA,Embedded in a tool;Dashboard;Static Web Page;Documents;Presentations;Email,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Leaflet;ggplot;Other R,NA,NA,NA,NA,NA,NA,NA,NA,NOT-FOR-PROFIT,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,_,Mostly Self-Taught,NA,Much more,MASTERS,NA,5,NA,MAN,NA,Analysts;Engineers;Product Managers;Sales team,Weekly,ANALYSIS;SUMMARIZATION;LEARNING,EXPERT,COLLABORATIVE,Line Chart;Bar Chart;Pie Chart;Treemap,NA,NA,DATA VISUALIZATION IS ONE OF SEVERAL OTHER THINGS I DO IN MY JOB BUT NOT A PRIMARY OR SECONDARY PART OF MY ROLE,Analysis;Summary/Overview;Communication;Exploration,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Dashboard;Documents;Presentations,NA,NA,WE HAVE A SET LIST OF TOOLS WE'RE EXPECTED TO USE FOR DATA VISUALIZATION.,Excel;Tableau,Business Intelligence Tools,NA,NA,NA,NA,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,_,Mostly Self-Taught,NA,More,MASTERS,NA,3,NA,WOMAN,NA,Scientists;Medical Professionals;Project Managers;Executives,Quarterly,ANALYSIS;SUMMARIZATION;LEARNING,MODERATE,COLLABORATIVE,Line Chart;Bar Chart;Pie Chart,NA,NA,DATA VISUALIZATION IS ONE OF SEVERAL OTHER THINGS I DO IN MY JOB BUT NOT A PRIMARY OR SECONDARY PART OF MY ROLE,Analysis;Communication,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,BOTH,Documents;Presentations,NA,NA,WE HAVE A SET LIST OF TOOLS WE'RE EXPECTED TO USE FOR DATA VISUALIZATION.,Excel,NA,NA,NA,NA,NA,NA,NA,NA,PUBLIC SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,_,Mostly Self-Taught,NA,Much more,MASTERS,NA,6,NA,MAN,NA,Executives,Daily,ANALYSIS;SUMMARIZATION,INTRO,CONSULTATIVE,Line Chart;Bar Chart;Infographics;Treemap;Choropleth Map,NA,NA,DATA VISUALIZATION IS AN IMPORTANT SECONDARY PART OF MY JOB BUT NOT THE FOCUS,Analysis;Communication,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Embedded in a tool;Dashboard;Static Web Page;Presentations,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Excel;Tableau;ggplot,Business Intelligence Tools;ggplot2/Pandas Charts,NA,NA,NA,NA,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,_,Mostly Self-Taught,NA,More,MASTERS,NA,5,NA,MAN,NA,General Public;Analysts;Engineers;Product Managers;Project Managers;Executives,Daily,ENTERTAINMENT;ANALYSIS;SUMMARIZATION;LEARNING;RESEARCH,INTRO;MODERATE;EXPERT,COLLABORATIVE,Line Chart;Bar Chart;Pie Chart;Infographics;Treemap;Network Diagram;Choropleth Map;Raster Map;Flow Diagram,NA,NA,DATA VISUALIZATION IS ONE OF SEVERAL OTHER THINGS I DO IN MY JOB BUT NOT A PRIMARY OR SECONDARY PART OF MY ROLE,Analysis;Summary/Overview;Communication;Marketing;Exploration,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Dashboard;Static Web Page;Documents;Presentations;Email,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Excel;Tableau;D3;Mapbox;Other Javascript;ggplot;Other Python,Business Intelligence Tools;General charting libraries;Completely custom,NA,NA,NA,More staff,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,_,Mostly Self-Taught,NA,NA,BACHELORS,NA,2,NA,NA,NA,Analysts;Project Managers;Executives,Monthly,ANALYSIS;SUMMARIZATION;LEARNING,MODERATE,COLLABORATIVE,Line Chart;Bar Chart;Infographics,NA,NA,DATA VISUALIZATION IS ONE OF SEVERAL OTHER THINGS I DO IN MY JOB BUT NOT A PRIMARY OR SECONDARY PART OF MY ROLE,NA,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,NA,Dashboard,NA,NA,WE HAVE A SET LIST OF TOOLS WE'RE EXPECTED TO USE FOR DATA VISUALIZATION.,Excel;Tableau;D3;Pandas;Other Python;React;Angular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
